UserID,Age,F,M
U00000001,16,1,0
U00000002,35,0,1
U00000003,25,0,1
U00000004,29,0,1
U00000005,25,0,1
U00000006,32,1,0
U00000007,27,0,1
U00000008,25,0,1
U00000009,25,0,1
U00000010,27,1,0
U00000011,25,1,0
U00000012,25,0,1
U00000013,29,0,1
U00000014,27,0,1
U00000015,25,0,1
U00000016,27,1,0
U00000017,32,0,1
U00000018,18,1,0
U00000019,16,0,1
U00000020,25,0,1
U00000021,18,0,1
U00000022,18,0,1
U00000023,27,0,1
U00000024,25,1,0
U00000025,18,0,1
U00000026,25,0,1
U00000027,25,0,1
U00000028,25,1,0
U00000029,27,0,1
U00000030,27,1,0
U00000031,35,0,1
U00000032,25,1,0
U00000033,29,0,1
U00000034,18,1,0
U00000035,29,0,1
U00000036,25,0,1
U00000037,25,1,0
U00000038,18,1,0
U00000039,18,0,1
U00000040,29,0,1
U00000041,18,1,0
U00000042,25,0,1
U00000043,25,0,1
U00000044,29,0,1
U00000045,29,1,0
U00000046,18,0,1
U00000047,18,0,1
U00000048,25,0,1
U00000049,18,0,1
U00000050,25,1,0
U00000051,16,1,0
U00000052,18,0,1
U00000053,25,0,1
U00000054,32,0,1
U00000055,27,1,0
U00000056,27,0,1
U00000057,18,0,1
U00000058,25,0,1
U00000059,32,1,0
U00000060,32,0,1
U00000061,25,0,1
U00000062,27,1,0
U00000063,18,0,1
U00000064,18,0,1
U00000065,27,0,1
U00000066,25,0,1
U00000067,32,1,0
U00000068,18,0,1
U00000069,25,1,0
U00000070,18,0,1
U00000071,25,0,1
U00000072,29,1,0
U00000073,18,0,1
U00000074,27,0,1
U00000075,16,1,0
U00000076,27,0,1
U00000077,18,0,1
U00000078,29,1,0
U00000079,29,1,0
U00000080,35,0,1
U00000081,25,1,0
U00000082,25,0,1
U00000083,25,1,0
U00000084,18,0,1
U00000085,18,0,1
U00000086,16,1,0
U00000087,25,0,1
U00000088,29,1,0
U00000089,35,1,0
U00000090,35,0,1
U00000091,27,0,1
U00000092,18,1,0
U00000093,25,0,1
U00000094,25,0,1
U00000095,29,0,1
U00000096,25,1,0
U00000097,27,1,0
U00000098,27,1,0
U00000099,16,1,0
U00000100,27,0,1
U00000101,18,1,0
U00000102,27,0,1
U00000103,29,0,1
U00000104,25,0,1
U00000105,29,0,1
U00000106,27,1,0
U00000107,29,0,1
U00000108,25,0,1
U00000109,29,0,1
U00000110,25,0,1
U00000111,27,0,1
U00000112,25,0,1
U00000113,18,0,1
U00000114,25,1,0
U00000115,25,0,1
U00000116,25,0,1
U00000117,25,0,1
U00000118,27,0,1
U00000119,16,1,0
U00000120,25,0,1
U00000121,27,0,1
U00000122,18,1,0
U00000123,27,0,1
U00000124,35,0,1
U00000125,29,0,1
U00000126,18,0,1
U00000127,29,1,0
U00000128,35,0,1
U00000129,25,0,1
U00000130,27,0,1
U00000131,18,0,1
U00000132,25,0,1
U00000133,25,1,0
U00000134,25,0,1
U00000135,18,0,1
U00000136,18,0,1
U00000137,29,1,0
U00000138,18,0,1
U00000139,25,1,0
U00000140,27,1,0
U00000141,27,0,1
U00000142,25,0,1
U00000143,18,0,1
U00000144,25,0,1
U00000145,18,0,1
U00000146,27,1,0
U00000147,18,0,1
U00000148,32,0,1
U00000149,25,0,1
U00000150,27,0,1
U00000151,25,1,0
U00000152,18,0,1
U00000153,16,0,1
U00000154,32,0,1
U00000155,27,0,1
U00000156,29,1,0
U00000157,27,0,1
U00000158,35,0,1
U00000159,29,1,0
